"config","type","n_obs","n_simulations","mcar","mar","mnar","outliers","DDC","m","R","k","(intercept)","X1","X2","X3"
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0115969839753834,-0.00107670304199829,0.0729239125076139,-0.0444755288793985
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0134185179498252,-0.00150335488283168,0.0740303309304986,-0.0476211397746638
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0161110805364097,0.0014592091276188,0.0746601290555565,-0.0465219851663679
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0160179676052895,-0.0631657099445481,0.0920226177712262,0.119497692028487
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0166009268347375,-0.0617573579543352,0.0923390615359153,0.117899057796848
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0160179676052895,-0.0631657099445481,0.0920226177712262,0.119497692028487
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0136039377744046,-0.0668463366830632,0.0886726227490162,0.118166851090079
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.188595646523483,-0.018203810840279,-0.0183486955331872,0.142595286357834
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.18603256557686,-0.0218598887157694,-0.0212115480351024,0.142031418605547
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.188595646523483,-0.018203810840279,-0.0183486955331872,0.142595286357834
